ID,YearBirth,Education,MaritalStatus, Income ,KidHome,TeenHome,CustomerEnroll,DaysLastPurchase,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
6862,1971,Graduation,Divorced,1730,0,0,5/18/2014,65,1.00,1.00,3.00,1.00,1.00,1.00,15,0,0,0,20,0,0,0,0,0,0,0,Spain
5376,1979,Graduation,Married,2447,1,0,1/6/2013,42,1.00,1.00,1725.00,1.00,1.00,1.00,15,0,28,0,1,0,0,0,0,0,0,0,USA
11110,1973,Graduation,Single,3502,1,0,4/13/2013,56,2.00,1.00,1.00,0.00,0.00,1.00,0,0,0,0,14,0,0,0,0,0,0,0,India
9931,1963,PhD,Married,4023,1,1,6/23/2014,29,5.00,0.00,1.00,1.00,1.00,1.00,15,0,0,0,19,0,0,0,0,0,0,0,Spain
10311,1969,Graduation,Married,4428,0,1,10/5/2013,0,16.00,4.00,12.00,2.00,4.00,321.00,0,25,0,0,1,0,0,0,0,0,0,0,Spain
3955,1965,Graduation,Divorced,4861,0,0,6/22/2014,20,2.00,1.00,1.00,1.00,0.00,1.00,0,0,0,0,14,0,0,0,0,0,0,0,Saudi Arabia
9303,1976,Graduation,Married,5305,0,1,7/30/2013,12,12.00,4.00,7.00,1.00,3.00,5.00,0,1,0,0,13,0,0,0,0,0,0,0,India
5899,1950,PhD,Together,5648,1,1,3/13/2014,68,28.00,0.00,6.00,1.00,1.00,13.00,1,1,0,0,20,1,0,0,0,0,0,0,USA
4246,1982,Master,Single,6560,0,0,12/12/2013,2,67.00,11.00,26.00,4.00,3.00,262.00,0,1,0,1,17,0,0,0,0,0,0,0,Spain
4303,1957,PhD,Together,6835,0,1,12/8/2012,76,107.00,2.00,12.00,2.00,2.00,12.00,0,0,0,1,20,0,0,0,0,0,0,0,Canada
6237,1966,PhD,Single,7144,0,2,12/7/2013,92,81.00,4.00,33.00,5.00,2.00,291.00,0,23,1,1,0,0,0,0,0,0,0,0,Spain
10641,1978,Graduation,Single,7500,1,1,12/27/2012,5,6.00,5.00,4.00,13.00,4.00,25.00,4,2,1,3,6,0,0,0,0,0,0,0,Spain
10659,1979,2n Cycle,Together,7500,1,0,5/7/2013,7,2.00,8.00,11.00,3.00,8.00,21.00,4,3,2,2,7,0,0,0,0,0,0,0,India
2139,1975,Master,Married,7500,1,0,10/2/2013,19,3.00,1.00,10.00,3.00,2.00,12.00,3,2,0,3,5,0,0,0,0,0,0,0,Australia
4692,1976,Graduation,Married,7500,1,0,8/1/2012,19,7.00,0.00,12.00,13.00,7.00,32.00,5,4,1,2,9,1,0,0,0,0,1,0,Australia
9909,1996,2n Cycle,Married,7500,0,0,11/9/2012,24,3.00,18.00,14.00,15.00,22.00,50.00,3,3,1,3,9,0,0,0,0,0,1,0,Australia
7297,1973,Graduation,Single,7500,1,0,12/26/2013,54,5.00,3.00,10.00,12.00,7.00,20.00,4,3,1,3,7,0,0,0,0,0,0,0,Saudi Arabia
